palette
"savory, smoky, spicy"
"fruity, savory, spicy, sweet"
"herby, savory, sour, spicy"
"herby, savory, spicy"
"earthy, savory, smoky, sweet, umami"
"earthy, herby, spicy"
neutral
"earthy, herby, savory, spicy"
"savory, spicy, sweet"
"savory, sour, spicy"
"savory, spicy, sweet"
"herby, savory, spicy, umami"
"savory, sour, spicy"
"earthy, savory, spicy"
"fruity, savory, sour, spicy"
"savory, spicy"
"savory, umami"
"spicy, sweet"
"earthy, savory, spicy"
"herby, savory, sour"
"savory, smoky, spicy"
"earthy, herby, savory, spicy, umami"
"herby, savory, spicy, umami"
savory
"earthy, savory, sour, spicy, sweet, umami"
"earthy, savory, spicy"
"herby, savory, sour, spicy, umami"
"savory, spicy"
"fruity, herby, savory, smoky, sour, spicy, sweet"
"savory, spicy, umami"
"herby, savory, spicy, sweet"
"herby, savory, spicy"
"earthy, savory"
"savory, spicy, umami"
"earthy, savory, sour, spicy, umami"
"savory, sour, spicy, umami"
neutral
"earthy, savory, spicy"
"savory, smoky, spicy"
"earthy, savory, sour, spicy"
herby
"earthy, herby, savory"
umami
"earthy, herby, savory, sour, spicy, sweet"
spicy
"earthy, savory, smoky, spicy"
neutral
"savory, sour, spicy, sweet, umami"
"savory, sour, spicy"
"savory, smoky, spicy"
"herby, savory, spicy, umami"
"herby, savory, spicy, umami"
"earthy, savory, spicy"
"savory, spicy, umami"
"savory, sour, umami"
"earthy, savory, smoky, umami"
"herby, savory, spicy"
"herby, savory, smoky, spicy"
earthy
spicy
"herby, savory, spicy, sweet"
"earthy, herby, savory, spicy"
"sour, spicy"
"fruity, sour"
neutral
"savory, smoky, spicy"
"earthy, herby, savory, sour, spicy"
savory
"earthy, savory, spicy"
"herby, savory, spicy"
"savory, sweet"
"savory, sour, spicy"
"earthy, savory, spicy"
"savory, spicy"
"earthy, herby, savory, spicy"
"earthy, savory, spicy"
neutral
"savory, umami"
"herby, savory"
"earthy, savory, spicy"
"fruity, herby, savory, sour, spicy"
"savory, spicy, umami"
"earthy, herby, savory, spicy"
"savory, spicy"
"earthy, savory, spicy"
"savory, sour, spicy, umami"
"savory, sweet, umami"
neutral
"savory, smoky, sweet"
"earthy, savory, smoky, sour, spicy"
"savory, spicy"
"herby, savory, sour, spicy, sweet, umami"
"herby, savory, sour, umami"
"herby, savory, sour, spicy"
savory
savory
"fruity, savory"
"fruity, savory, spicy"
"herby, savory, spicy, umami"
"fruity, herby, savory, spicy, sweet"
"herby, savory, umami"
"savory, sour"
"savory, umami"
"savory, spicy"
"earthy, savory, smoky, spicy, sweet, umami"
"savory, spicy"
"earthy, fruity, savory, smoky, sour, spicy, sweet, umami"
"herby, savory, umami"
"herby, savory, spicy, sweet, umami"
"savory, spicy"
"savory, spicy, sweet, umami"
"earthy, savory, umami"
"savory, spicy, umami"
"fruity, herby, savory, spicy"
"savory, spicy, sweet, umami"
"fruity, sweet"
"savory, spicy"
"herby, savory, umami"
"earthy, herby, sweet"
"herby, savory, spicy"
"earthy, savory, spicy, umami"
"herby, savory, smoky, sour, spicy, umami"
"earthy, savory, spicy"
"savory, sour, spicy, umami"
"bitter, herby, savory, spicy, umami"
"savory, sour, umami"
"savory, smoky, spicy, umami"
"savory, umami"
"savory, sour, spicy, umami"
"savory, smoky, sour, spicy"
"herby, savory, sour, spicy, umami"
"savory, sweet, umami"
"sour, spicy"
"earthy, herby, savory, spicy"
"savory, spicy"
"smoky, sour"
umami
savory
"herby, spicy, umami"
"earthy, fruity, savory, spicy, sweet, umami"
"savory, sour, spicy, sweet, umami"
"herby, savory, sour, spicy, sweet, umami"
"earthy, herby, savory, spicy"
"savory, spicy"
"earthy, savory, sour, spicy"
"savory, smoky, spicy"
"savory, spicy, umami"
savory
"earthy, herby, savory, sour, spicy"
"earthy, fruity, herby, savory, spicy"
"earthy, fruity, herby, savory, smoky, sour, spicy"
"savory, smoky, spicy"
smoky
"fruity, savory, sour, sweet, umami"
"savory, spicy"
"savory, sour, spicy, umami"
"savory, umami"
"herby, savory, spicy, umami"
"savory, spicy"
"savory, smoky, sour, spicy, sweet, umami"
"savory, spicy, sweet, umami"
"savory, sweet, umami"
"herby, savory, sour, spicy"
"fruity, savory, smoky, sour, spicy, sweet, umami"
"savory, sweet, umami"
"savory, spicy, umami"
"savory, spicy"
"bitter, earthy, herby, savory, spicy"
"herby, savory, smoky, spicy"
"savory, smoky, sour, spicy"
"fruity, savory, sour, spicy, sweet, umami"
"savory, sour, spicy, sweet"
"earthy, savory, spicy, umami"
"herby, savory, spicy, sweet"
"earthy, savory, sour, spicy, umami"
"savory, sweet, umami"
"earthy, savory, spicy"
neutral
"savory, spicy, umami"
"earthy, herby, savory, spicy"
"earthy, herby, savory, sour, spicy"
"savory, umami"
"herby, savory, spicy, umami"
"savory, smoky, sour, spicy, umami"
"savory, smoky, spicy"
"savory, spicy, umami"
neutral
herby
"herby, savory, spicy, umami"
"earthy, fruity, savory, sour, spicy, sweet"
"herby, savory, spicy"
"savory, sweet, umami"
"herby, savory, sour, spicy, sweet"
"savory, spicy, sweet"
"fruity, savory, sour, sweet, umami"
"savory, spicy, umami"
"savory, sour, sweet, umami"
"herby, savory, spicy, umami"
"savory, smoky, sour, spicy, umami"
"bitter, herby, savory, sour, spicy, sweet"
"earthy, herby, savory, spicy"
"earthy, herby, savory, smoky, spicy, sweet"
"savory, smoky, sour, spicy, sweet"
"savory, umami"
"savory, spicy"
spicy
"savory, spicy"
"earthy, savory"
"savory, sour, spicy, sweet, umami"
"fruity, herby, savory, sour, spicy"
"smoky, sweet"
"fruity, herby, savory"
"savory, spicy"
neutral
"savory, spicy"
"savory, spicy"
"fruity, herby, savory, spicy"
"herby, savory, spicy, umami"
"fruity, herby, sour, spicy, sweet"
"savory, sour, spicy, sweet"
"earthy, savory, sour, spicy, umami"
savory
"herby, savory, sour, spicy"
"savory, smoky, sour"
"sour, spicy"
"savory, spicy"
"earthy, savory, spicy"
"herby, savory, umami"
"earthy, herby, savory, sour, spicy"
"fruity, savory"
"earthy, savory, spicy, umami"
"earthy, savory"
"earthy, savory, spicy"
"savory, spicy"
"earthy, sour, spicy, sweet"
"earthy, herby, savory, smoky, sour, spicy, sweet"
"savory, sour, spicy, sweet"
"earthy, savory, spicy"
"savory, spicy, sweet, umami"
"earthy, savory, spicy, umami"
"savory, spicy"
neutral
"herby, savory, smoky, spicy, umami"
"earthy, savory, smoky, sour, spicy"
spicy
"fruity, savory, spicy"
"savory, sweet"
"savory, spicy, umami"
earthy
"herby, savory, spicy, umami"
"earthy, savory, sour, spicy"
"herby, savory, sour, spicy"
"savory, sour, spicy, sweet"
"savory, spicy, sweet"
sweet
"herby, savory, spicy"
"earthy, herby, savory, smoky, spicy, sweet, umami"
"herby, savory"
"savory, spicy, sweet"
spicy
"herby, savory, spicy, umami"
"bitter, smoky"
"earthy, savory, sweet"
"earthy, herby, savory, spicy"
"savory, sour, umami"
"smoky, sweet"
"savory, spicy, sweet"
"savory, spicy"
"savory, smoky, spicy"
"earthy, savory, smoky, spicy, umami"
"smoky, umami"
"earthy, savory, spicy"
"earthy, herby, savory, spicy, umami"
"savory, spicy, umami"
"savory, sour, spicy, sweet"
"savory, spicy"
"savory, spicy"
savory
"savory, sour, spicy, sweet, umami"
"savory, sour, spicy"
"savory, sour, spicy"
"earthy, herby, savory, spicy"
"earthy, herby, savory, spicy, umami"
